file,category,model,prompt_version,score_rate,omission_rate
187_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.5625,0.25
189_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.3125,0.5
190_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.5625,0.25
191_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.625,0.25
192_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.25,0.625
193_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.5625,0.0
194_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.25,0.625
195_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.375,0.5
198_md.md,1_长篇结构化应用文档,deepseek-v3.2,anchor_v3,0.75,0.0
25_md.md,2_学术论文与专业文献,deepseek-v3.2,anchor_v3,1.0,0.0
27_md.md,2_学术论文与专业文献,deepseek-v3.2,anchor_v3,0.3125,0.625
28_md.md,2_学术论文与专业文献,deepseek-v3.2,anchor_v3,0.875,0.0
29_md.md,2_学术论文与专业文献,deepseek-v3.2,anchor_v3,0.75,0.25
30_md.md,2_学术论文与专业文献,deepseek-v3.2,anchor_v3,0.875,0.0
33_md.md,2_学术论文与专业文献,deepseek-v3.2,anchor_v3,0.25,0.75
60_md.md,2_学术论文与专业文献,deepseek-v3.2,anchor_v3,0.3125,0.375
105_md.md,2_学术论文与专业文献,deepseek-v3.2,anchor_v3,0.625,0.125
143_md.md,2_学术论文与专业文献,deepseek-v3.2,anchor_v3,0.875,0.125
150_md.md,2_学术论文与专业文献,deepseek-v3.2,anchor_v3,0.75,0.125
145_md.md,3_二维表格与日程数据,deepseek-v3.2,anchor_v3,0.375,0.25
160_md.md,3_二维表格与日程数据,deepseek-v3.2,anchor_v3,0.4375,0.5
165_md.md,3_二维表格与日程数据,deepseek-v3.2,anchor_v3,0.5625,0.25
21_md.md,6_纯信息罗列清单,deepseek-v3.2,anchor_v3,0.25,0.625
39_md.md,6_纯信息罗列清单,deepseek-v3.2,anchor_v3,0.5625,0.25
58_md.md,6_纯信息罗列清单,deepseek-v3.2,anchor_v3,0.75,0.125
59_md.md,6_纯信息罗列清单,deepseek-v3.2,anchor_v3,0.3125,0.5
80_md.md,6_纯信息罗列清单,deepseek-v3.2,anchor_v3,0.3125,0.625
81_md.md,6_纯信息罗列清单,deepseek-v3.2,anchor_v3,0.5625,0.375
82_md.md,6_纯信息罗列清单,deepseek-v3.2,anchor_v3,0.4375,0.5
95_md.md,6_纯信息罗列清单,deepseek-v3.2,anchor_v3,0.625,0.25
106_md.md,6_纯信息罗列清单,deepseek-v3.2,anchor_v3,0.5625,0.375
108_md.md,6_纯信息罗列清单,deepseek-v3.2,anchor_v3,0.5,0.25
109_md.md,6_纯信息罗列清单,deepseek-v3.2,anchor_v3,0.625,0.375
110_md.md,6_纯信息罗列清单,deepseek-v3.2,anchor_v3,0.6875,0.25
111_md.md,6_纯信息罗列清单,deepseek-v3.2,anchor_v3,0.5625,0.25
112_md.md,6_纯信息罗列清单,deepseek-v3.2,anchor_v3,0.3125,0.625
113_md.md,6_纯信息罗列清单,deepseek-v3.2,anchor_v3,0.8125,0.125
114_md.md,6_纯信息罗列清单,deepseek-v3.2,anchor_v3,0.25,0.5
